"id","nida","phone_number","quality_status"
"149","20090802000000000149","+255710000149","VALID"
"150","19790807000000000150","+255710000150","VALID"
"151","19911130000000000151","+255710000151","VALID"
"152","20130903000000000152","+255710000152","VALID"
"153","20000305000000000153","+255710000153","VALID"
"154","19860309000000000154","+255710000154","VALID"
"155","19681212000000000155","+255710000155","CORRUPTED"
"156","19861214000000000156","+255710000156","VALID"
"157","20190130000000000157","+255710000157","VALID"
"158","19770614000000000158","+255710000158","VALID"
"159","20080604000000000159","+255710000159","WARNING"
"160","19720721000000000160","+255710000160","VALID"
"161","19761008000000000161","+255710000161","VALID"
"162","20061113000000000162","+255710000162","VALID"
"163","20171122000000000163","+255710000163","VALID"
"164","19750626000000000164","+255710000164","VALID"
"165","20170529000000000165","07123","WARNING"
"166","19870805000000000166","+255710000166","CORRUPTED"
"167","19791208000000000167","+255710000167","VALID"
"168","19710517000000000168","+255710000168","VALID"
"169","19830116000000000169","+255710000169","VALID"
"170","19880424000000000170","+255710000170","VALID"
"171","20041130000000000171","+255710000171","VALID"
"172","19620317000000000172","+255710000172","VALID"
"173","19940417000000000173","+255710000173","VALID"
"174","20190401000000000174","+255710000174","VALID"
"175","19980222000000000175","+255710000175","VALID"
"176","19900324000000000176","+255710000176","VALID"
"177","19631206000000000177","+255710000177","VALID"
"178","19820919000000000178","+255710000178","WARNING"
"179","19710719000000000179","+255710000179","VALID"
"180","19721020000000000180","+255710000180","VALID"
"181","19780927000000000181","+255710000181","VALID"
"182","20050616000000000182","+255710000182","VALID"
"183","19791228000000000183","+255710000183","WARNING"
"184","19620914000000000184","+255710000184","VALID"
"185","20141117000000000185","+255710000185","VALID"
"186","20050813000000000186","+255710000186","VALID"
"187","19900320000000000187","+255710000187","VALID"
"188","19880625000000000188","+255710000188","VALID"
"189","19721101000000000189","+255710000189","VALID"
"190","19780814000000000190","+255710000190","VALID"
"191","20121231000000000191","+255710000191","VALID"
"192","20000527000000000192","+255710000192","CORRUPTED"
"193","20160930000000000193","+255710000193","VALID"
"194","20050302000000000194","+255710000194","VALID"
"195","20190409000000000195","+255710000195","VALID"
"196","19950115000000000196","+255710000196","VALID"
"197","19950111000000000197","+255710000197","VALID"
"198","19810502000000000198","+255710000198","CORRUPTED"
"199","19970825000000000199","+255710000199","WARNING"
"200","19611013000000000200","+255710000200","VALID"
"201","19650525000000000201","+255710000201","WARNING"
"202","20020413000000000202","+255710000202","VALID"
"203","19930127000000000203","+255710000203","WARNING"
"204","19720721000000000204","+255710000204","WARNING"
"205","19941018000000000205","+255710000205","VALID"
"206","19850920000000000206","+255710000206","VALID"
"207","20130719000000000207","+255710000207","VALID"
"208","20030921000000000208","+255710000208","VALID"
"209","19670621000000000209","+255710000209","VALID"
"210","20141031000000000210","+255710000210","VALID"
"211","19691106000000000211","+255710000211","WARNING"
"212","19920504000000000212","+255710000212","VALID"
"213","20031003000000000213","+255710000213","VALID"
"214","20120427000000000214","+255710000214","VALID"
"215","20041012000000000215","+255710000215","VALID"
"216","19770116000000000216","+255710000216","VALID"
"217","19800326000000000217","+255710000217","VALID"
"218","20190111000000000218","+255710000218","VALID"
"219","19820921000000000219","+255710000219","VALID"
"220","19850117000000000220","+255710000220","VALID"
"221","20030916000000000221","+255710000221","VALID"
"222","19630704000000000222","+255710000222","VALID"
"223","20050903000000000223","+255710000223","VALID"
"224","20160417000000000224","+255710000224","VALID"
"225","19810602000000000225","+255710000225","VALID"
"226","19630518000000000226","+255710000226","VALID"
"227","19880811000000000227","+255710000227","VALID"
"228","19780526000000000228","+255710000228","VALID"
"229","20191215000000000229","+255710000229","CORRUPTED"
"230","19600606000000000230","+255710000230","VALID"
"231","19690320000000000231","+255710000231","VALID"
"232","19630329000000000232","+255710000232","VALID"
"233","19600415000000000233","+255710000233","VALID"
"234","20061229000000000234","+255710000234","VALID"
"235","20180327000000000235","+255710000235","VALID"
"236","20050103000000000236","+255710000236","VALID"
"237","20181117000000000237","+255710000237","VALID"
"238","19740620000000000238","+255710000238","VALID"
"239","20150524000000000239","+255710000239","VALID"
"240","19800321000000000240","+255710000240","VALID"
"241","20080717000000000241","+255710000241","VALID"
"242","19600804000000000242","+255710000242","VALID"
"243","20170531000000000243","+255710000243","VALID"
"244","20171125000000000244","+255710000244","VALID"
"245","20120704000000000245","+255710000245","WARNING"
"246","19820407000000000246","+255710000246","VALID"
"247","20090705000000000247","+255710000247","WARNING"
"248","19680307000000000248","+255710000248","VALID"
"249","19940915000000000249","+255710000249","VALID"
"250","20180108000000000250","+255710000250","VALID"
"251","20010518000000000251","+255710000251","VALID"
"252","19680514000000000252","+255710000252","VALID"
"253","19620609000000000253","+255710000253","VALID"
"254","20110717000000000254","+255710000254","VALID"
"255","19780825000000000255","+255710000255","VALID"
"256","19641111000000000256","+255710000256","VALID"
"257","19770213000000000257","+255710000257","VALID"
"258","19740419000000000258","+255710000258","VALID"
"259","19950720000000000259","+255710000259","VALID"
"260","20100422000000000260","+255710000260","VALID"
"261","20101228000000000261","+255710000261","VALID"
"262","19980619000000000262","+255710000262","VALID"
"263","19740131000000000263","+255710000263","VALID"
"264","20200102000000000264","+255710000264","VALID"
"265","20100601000000000265","+255710000265","VALID"
"266","20051007000000000266","+255710000266","VALID"
"267","19771230000000000267","+255710000267","VALID"
"268","20050820000000000268","+255710000268","VALID"
"269","20010619000000000269","+255710000269","VALID"
"270","20061214000000000270","+255710000270","VALID"
"271","19890620000000000271","+255710000271","VALID"
"272","19990818000000000272","+255710000272","VALID"
"273","19640625000000000273","+255710000273","VALID"
"274","19790310000000000274","+255710000274","CORRUPTED"
"275","19610306000000000275","+255710000275","VALID"
"276","19811113000000000276","+255710000276","VALID"
"277","20120429000000000277","+255710000277","VALID"
"278","19851013000000000278","+255710000278","VALID"
"279","20030514000000000279","+255710000279","VALID"
"280","19850517000000000280","+255710000280","VALID"
"281","19940820000000000281","+255710000281","VALID"
"282","20111110000000000282","+255710000282","VALID"
"283","20140211000000000283","+255710000283","VALID"
"284","19670724000000000284","+255710000284","VALID"
"285","19921207000000000285","+255710000285","VALID"
"286","19920313000000000286","+255710000286","VALID"
"287","19910414000000000287","+255710000287","VALID"
"288","19800621000000000288","+255710000288","VALID"
"289","19701023000000000289","+255710000289","WARNING"
"290","19840804000000000290","+255710000290","VALID"
"291","19940511000000000291","+255710000291","VALID"
"292","19700329000000000292","+255710000292","WARNING"
"293","20011106000000000293","+255710000293","VALID"
"294","20141206000000000294","+255710000294","VALID"
"295","19790624000000000295","+255710000295","VALID"
"296","19881018000000000296","+255710000296","VALID"
"297","20070207000000000297","+255710000297","VALID"
"298","19751230000000000298","+255710000298","CORRUPTED"
"299","19740630000000000299","+255710000299","VALID"
"300","00000000000000000000","+255710000300","CORRUPTED"
"301","19811130000000000301","+255710000301","VALID"
"302","19991021000000000302","+255710000302","VALID"
"303","19720121000000000303","+255710000303","VALID"
"304","19851127000000000304","+255710000304","VALID"
"305","19621206000000000305","+255710000305","VALID"
"306","20130301000000000306","+255710000306","VALID"
"307","19971211000000000307","+255710000307","VALID"
"308","20020411000000000308","+255710000308","VALID"
"309","20140831000000000309","+255710000309","VALID"
"310","19940612000000000310","+255710000310","VALID"
"311","20110311000000000311","+255710000311","VALID"
"312","19691123000000000312","+255710000312","VALID"
"313","19650127000000000313","+255710000313","VALID"
"314","19891017000000000314","+255710000314","VALID"
"315","19620707000000000315","+255710000315","VALID"
"316","19620718000000000316","+255710000316","VALID"
"317","20141116000000000317","+255710000317","VALID"
"318","19660314000000000318","+255710000318","VALID"
"319","20091013000000000319","+255710000319","VALID"
"320","19880430000000000320","+255710000320","VALID"
"321","20090207000000000321","+255710000321","VALID"
"322","19700626000000000322","+255710000322","VALID"
"323","19880226000000000323","+255710000323","VALID"
"324","20070803000000000324","+255710000324","VALID"
"325","20001025000000000325","+255710000325","VALID"
"326","19790221000000000326","+255710000326","VALID"
"327","19740124000000000327","+255710000327","VALID"
"328","20180717000000000328","+255710000328","VALID"
"329","19920219000000000329","+255710000329","WARNING"
"330","19990227000000000330","+255710000330","VALID"
"331","20010417000000000331","+255710000331","WARNING"
"332","19950918000000000332","+255710000332","WARNING"
"333","19970510000000000333","+255710000333","VALID"
"334","19640829000000000334","+255710000334","VALID"
"335","19871117000000000335","+255710000335","VALID"
"336","20110727000000000336","+255710000336","VALID"
"337","19750108000000000337","+255710000337","VALID"
"338","20170918000000000338","+255710000338","VALID"
"339","19640516000000000339","+255710000339","VALID"
"340","19670716000000000340","+255710000340","VALID"
"341","20021115000000000341","+255710000341","CORRUPTED"
"342","20191102000000000342","+255710000342","VALID"
"343","19710511000000000343","+255710000343","VALID"
"344","20010425000000000344","+255710000344","WARNING"
"345","19610112000000000345","+255710000345","VALID"
"346","19731127000000000346","+255710000346","VALID"
"347","19650920000000000347","+255710000347","VALID"
"348","19790804000000000348","+255710000348","VALID"
"349","20050303000000000349","+255710000349","VALID"
"350","19920902000000000350","+255710000350","VALID"
"351","19870426000000000351","+255710000351","VALID"
"352","20100222000000000352","+255710000352","VALID"
"353","19750528000000000353","+255710000353","VALID"
"354","20100310000000000354","+255710000354","WARNING"
"355","19690421000000000355","+255710000355","VALID"
"356","19900627000000000356","+255710000356","WARNING"
"357","20190725000000000357","+255710000357","VALID"
"358","20101010000000000358","+255710000358","WARNING"
"359","19720305000000000359","+255710000359","WARNING"
"360","20070811000000000360","+255710000360","VALID"
"361","20040728000000000361","+255710000361","VALID"
"362","19850928000000000362","+255710000362","VALID"
"363","19640619000000000363","+255710000363","VALID"
"364","19870326000000000364","+255710000364","VALID"
"365","19980629000000000365","+255710000365","VALID"
"366","20060725000000000366","+255710000366","VALID"
"367","20181224000000000367","+255710000367","CORRUPTED"
"368","19800816000000000368","+255710000368","WARNING"
"369","19680227000000000369","+255710000369","VALID"
"370","19730909000000000370","+255710000370","VALID"
"371","20030421000000000371","+255710000371","VALID"
"372","19801118000000000372","+255710000372","VALID"
"373","19750405000000000373","+255710000373","VALID"
"374","19610131000000000374","+255710000374","VALID"
"375","19940814000000000375","+255710000375","VALID"
"376","20090826000000000376","+255710000376","CORRUPTED"
"377","20150528000000000377","+255710000377","VALID"
"378","19681128000000000378","+255710000378","VALID"
"379","20051106000000000379","+255710000379","VALID"
"380","19611227000000000380","+255710000380","VALID"
"381","19931210000000000381","+255710000381","VALID"
"382","19951223000000000382","+255710000382","VALID"
"383","19660715000000000383","+255710000383","VALID"
"384","20100410000000000384","+255710000384","VALID"
"385","19830223000000000385","+255710000385","VALID"
"386","19970609000000000386","+255710000386","VALID"
"387","19800408000000000387","+255710000387","VALID"
"388","19661229000000000388","+255710000388","VALID"
"389","20000323000000000389","+255710000389","VALID"
"390","19930116000000000390","+255710000390","VALID"
"391","19800606000000000391","+255710000391","VALID"
"392","19791201000000000392","+255710000392","CORRUPTED"
"393","20120305000000000393","+255710000393","VALID"
"394","20181110000000000394","+255710000394","CORRUPTED"
"395","19790329000000000395","+255710000395","VALID"
"396","19690908000000000396","+255710000396","VALID"
"397","19970120000000000397","+255710000397","WARNING"
"398","19700831000000000398","+255710000398","VALID"
"399","19940818000000000399","+255710000399","VALID"
"400","20130116000000000400","+255710000400","VALID"
"401","19881028000000000401","+255710000401","WARNING"
"402","19871116000000000402","+255710000402","VALID"
"403","20140518000000000403","+255710000403","VALID"
"404","20060830000000000404","+255710000404","VALID"
"405","19650514000000000405","07123","WARNING"
"406","20150207000000000406","+255710000406","VALID"
"407","19900317000000000407","+255710000407","WARNING"
"408","20181117000000000408","+255710000408","CORRUPTED"
"409","20120525000000000409","+255710000409","VALID"
"410","19930227000000000410","+255710000410","VALID"
"411","20060617000000000411","+255710000411","VALID"
"412","19760731000000000412","+255710000412","VALID"
"413","19900209000000000413","+255710000413","CORRUPTED"
"414","19661121000000000414","+255710000414","VALID"
"415","19650303000000000415","+255710000415","VALID"
"416","19640510000000000416","+255710000416","WARNING"
"417","20030109000000000417","+255710000417","VALID"
"418","20050102000000000418","+255710000418","WARNING"
"419","19700107000000000419","+255710000419","WARNING"
"420","19760425000000000420","+255710000420","VALID"
"421","20080922000000000421","+255710000421","VALID"
"422","19700403000000000422","+255710000422","VALID"
"423","19710122000000000423","+255710000423","VALID"
"424","20000602000000000424","+255710000424","VALID"
"425","19680917000000000425","+255710000425","VALID"
"426","20110222000000000426","+255710000426","VALID"
"427","20151127000000000427","+255710000427","VALID"
"428","19620910000000000428","+255710000428","VALID"
"429","20170824000000000429","+255710000429","VALID"
"430","19950316000000000430","+255710000430","VALID"
"431","19640226000000000431","+255710000431","VALID"
"432","20060220000000000432","+255710000432","VALID"
"433","19741113000000000433","+255710000433","VALID"
"434","20130106000000000434","+255710000434","WARNING"
"435","20070806000000000435","+255710000435","VALID"
"436","20160603000000000436","+255710000436","VALID"
"437","19850524000000000437","+255710000437","VALID"
"438","19740708000000000438","+255710000438","VALID"
"439","19750529000000000439","+255710000439","VALID"
"440","20031022000000000440","+255710000440","VALID"
"441","19611004000000000441","+255710000441","CORRUPTED"
"442","19880917000000000442","+255710000442","VALID"
"443","19630527000000000443","+255710000443","VALID"
"444","19831113000000000444","+255710000444","VALID"
"445","19980514000000000445","+255710000445","VALID"
"446","19881001000000000446","+255710000446","VALID"
"447","19931002000000000447","+255710000447","VALID"
"448","19941216000000000448","+255710000448","VALID"
"449","19970309000000000449","+255710000449","VALID"
"450","20130422000000000450","+255710000450","VALID"
"451","19631202000000000451","+255710000451","WARNING"
"452","20041102000000000452","+255710000452","VALID"
"453","19600317000000000453","+255710000453","VALID"
"454","19860126000000000454","+255710000454","VALID"
"455","20120910000000000455","+255710000455","VALID"
"456","19800307000000000456","+255710000456","WARNING"
"457","19790913000000000457","+255710000457","VALID"
"458","19600105000000000458","+255710000458","VALID"
"459","20060128000000000459","+255710000459","VALID"
"460","20020511000000000460","+255710000460","VALID"
"461","19840730000000000461","+255710000461","VALID"
"462","19820610000000000462","+255710000462","VALID"
"463","19840707000000000463","+255710000463","VALID"
"464","19600117000000000464","+255710000464","VALID"
"465","20140202000000000465","+255710000465","VALID"
"466","19840608000000000466","+255710000466","VALID"
"467","19680610000000000467","+255710000467","VALID"
"468","19780518000000000468","+255710000468","VALID"
"469","19950207000000000469","+255710000469","VALID"
"470","20160619000000000470","+255710000470","VALID"
"471","19610306000000000471","+255710000471","VALID"
"472","19641102000000000472","+255710000472","VALID"
"473","20021226000000000473","+255710000473","VALID"
"474","20050816000000000474","+255710000474","VALID"
"475","20080626000000000475","+255710000475","VALID"
"476","20050416000000000476","+255710000476","VALID"
"477","19701025000000000477","+255710000477","VALID"
"478","19840818000000000478","+255710000478","VALID"
"479","19991019000000000479","+255710000479","VALID"
"480","19650627000000000480","+255710000480","VALID"
"481","19910223000000000481","+255710000481","VALID"
"482","19710926000000000482","+255710000482","VALID"
"483","19900111000000000483","+255710000483","VALID"
"484","19681022000000000484","+255710000484","VALID"
"485","19600921000000000485","+255710000485","VALID"
"486","19861114000000000486","+255710000486","VALID"
"487","19770512000000000487","+255710000487","VALID"
"488","20140727000000000488","+255710000488","CORRUPTED"
"489","20060812000000000489","+255710000489","VALID"
"490","19800306000000000490","+255710000490","VALID"
"491","20100130000000000491","+255710000491","WARNING"
"492","19640328000000000492","+255710000492","VALID"
"493","19720820000000000493","+255710000493","VALID"
"494","20120701000000000494","+255710000494","VALID"
"495","19680206000000000495","+255710000495","CORRUPTED"
"496","20190224000000000496","+255710000496","VALID"
"497","19930509000000000497","+255710000497","VALID"
"498","19690624000000000498","+255710000498","VALID"
"499","19880111000000000499","+255710000499","VALID"
"500","20170501000000000500","+255710000500","VALID"
"501","19680409000000000501","+255710000501","VALID"
"502","19760129000000000502","+255710000502","VALID"
"503","19980529000000000503","+255710000503","WARNING"
"504","20050521000000000504","+255710000504","VALID"
"505","20031018000000000505","+255710000505","WARNING"
"506","20000807000000000506","+255710000506","VALID"
"507","19990104000000000507","+255710000507","VALID"
"508","20051006000000000508","+255710000508","VALID"
"509","20170625000000000509","+255710000509","VALID"
"510","20140911000000000510","+255710000510","VALID"
"511","20050214000000000511","+255710000511","VALID"
"512","19610905000000000512","+255710000512","VALID"
"513","19900627000000000513","+255710000513","VALID"
"514","19740608000000000514","+255710000514","VALID"
"515","20090813000000000515","+255710000515","VALID"
"516","20100905000000000516","+255710000516","VALID"
"517","19670722000000000517","+255710000517","WARNING"
"518","19600516000000000518","+255710000518","VALID"
"519","19771204000000000519","+255710000519","VALID"
"520","20100616000000000520","+255710000520","VALID"
"521","19630214000000000521","+255710000521","VALID"
"522","19980524000000000522","+255710000522","VALID"
"523","20091020000000000523","+255710000523","VALID"
"524","19650706000000000524","+255710000524","WARNING"
"525","19680516000000000525","+255710000525","VALID"
"526","19790720000000000526","+255710000526","VALID"
"527","19651117000000000527","+255710000527","VALID"
"528","20180811000000000528","+255710000528","VALID"
"529","19910704000000000529","+255710000529","VALID"
"530","19640124000000000530","+255710000530","VALID"
"531","19860314000000000531","+255710000531","VALID"
"532","19840118000000000532","+255710000532","VALID"
"533","19700206000000000533","+255710000533","VALID"
"534","19780701000000000534","+255710000534","VALID"
"535","20120130000000000535","+255710000535","VALID"
"536","19630504000000000536","+255710000536","VALID"
"537","19790427000000000537","+255710000537","VALID"
"538","19690907000000000538","+255710000538","VALID"
"539","19630514000000000539","+255710000539","VALID"
"540","20040829000000000540","+255710000540","VALID"
"541","20190124000000000541","+255710000541","WARNING"
"542","19771117000000000542","+255710000542","WARNING"
"543","19630512000000000543","+255710000543","VALID"
"544","19640105000000000544","+255710000544","VALID"
"545","20100723000000000545","+255710000545","VALID"
"546","19750912000000000546","+255710000546","VALID"
"547","19891201000000000547","+255710000547","WARNING"
"548","19650725000000000548","+255710000548","VALID"
"549","19640119000000000549","+255710000549","VALID"
"550","19900815000000000550","+255710000550","VALID"
"551","19961225000000000551","+255710000551","VALID"
"552","20051113000000000552","+255710000552","VALID"
"553","20030324000000000553","+255710000553","VALID"
"554","19900713000000000554","+255710000554","VALID"
"555","19770103000000000555","+255710000555","VALID"
"556","20080915000000000556","+255710000556","VALID"
"557","19711118000000000557","+255710000557","VALID"
"558","19711223000000000558","+255710000558","VALID"
"559","20091109000000000559","+255710000559","VALID"
"560","19860726000000000560","+255710000560","VALID"
"561","20120410000000000561","+255710000561","VALID"
"562","19820326000000000562","+255710000562","VALID"
"563","19770207000000000563","+255710000563","WARNING"
"564","20000926000000000564","+255710000564","VALID"
"565","20020426000000000565","+255710000565","WARNING"
"566","19850615000000000566","+255710000566","VALID"
"567","20050321000000000567","+255710000567","VALID"
"568","19930310000000000568","+255710000568","VALID"
"569","20190822000000000569","+255710000569","VALID"
"570","20091209000000000570","07123","WARNING"
"571","20011008000000000571","+255710000571","VALID"
"572","20121028000000000572","+255710000572","VALID"
"573","20060926000000000573","+255710000573","VALID"
"574","19710706000000000574","+255710000574","VALID"
"575","19881021000000000575","+255710000575","VALID"
"576","20141112000000000576","+255710000576","VALID"
"577","19751016000000000577","+255710000577","VALID"
"578","19691117000000000578","+255710000578","VALID"
"579","20130314000000000579","+255710000579","VALID"
"580","19600819000000000580","+255710000580","VALID"
"581","19850320000000000581","+255710000581","VALID"
"582","19870413000000000582","+255710000582","VALID"
"583","19810406000000000583","+255710000583","VALID"
"584","19880902000000000584","+255710000584","VALID"
"585","20080304000000000585","+255710000585","VALID"
"586","19900102000000000586","+255710000586","VALID"
"587","20170720000000000587","+255710000587","VALID"
"588","20100919000000000588","+255710000588","VALID"
"589","19790830000000000589","+255710000589","VALID"
"590","20020310000000000590","+255710000590","VALID"
"591","19961018000000000591","+255710000591","VALID"
"592","19970510000000000592","+255710000592","VALID"
"593","20120823000000000593","+255710000593","VALID"
"594","20000516000000000594","+255710000594","VALID"
"595","19790112000000000595","+255710000595","WARNING"
"596","19631127000000000596","+255710000596","WARNING"
"597","19651102000000000597","+255710000597","VALID"
"598","19730712000000000598","+255710000598","VALID"
"599","20050722000000000599","+255710000599","VALID"
"600","19671228000000000600","+255710000600","VALID"
"601","20020407000000000601","+255710000601","VALID"
"602","19681005000000000602","+255710000602","VALID"
"603","19690616000000000603","+255710000603","VALID"
"604","19630312000000000604","+255710000604","VALID"
"605","19770104000000000605","+255710000605","VALID"
"606","19610407000000000606","+255710000606","VALID"
"607","20060327000000000607","+255710000607","VALID"
"608","19621226000000000608","+255710000608","VALID"
"609","19781120000000000609","+255710000609","VALID"
"610","20000903000000000610","+255710000610","VALID"
"611","19950316000000000611","+255710000611","VALID"
"612","20040416000000000612","+255710000612","VALID"
"613","20090322000000000613","+255710000613","VALID"
"614","19830101000000000614","+255710000614","VALID"
"615","19820128000000000615","+255710000615","VALID"
"616","20171103000000000616","+255710000616","VALID"
"617","19660518000000000617","+255710000617","VALID"
"618","20181012000000000618","+255710000618","VALID"
"619","20170703000000000619","+255710000619","VALID"
"620","19720822000000000620","+255710000620","VALID"
"621","19811226000000000621","+255710000621","VALID"
"622","19870217000000000622","+255710000622","CORRUPTED"
"623","20061126000000000623","+255710000623","VALID"
"624","19720604000000000624","+255710000624","VALID"
"625","19670301000000000625","+255710000625","WARNING"
"626","19880617000000000626","+255710000626","VALID"
"627","19630225000000000627","+255710000627","VALID"
"628","20180219000000000628","+255710000628","VALID"
